ID вопроса,Вопрос,Референсный ответ,Релевантные документы,Контекст (превью)
50,Как по-разному обращаются со штрафами и пенями при ипотечных каникулах и при судебном банкротстве?,"В контексте нет информации о том, как именно обращаются со штрафами и пенями при ипотечных каникулах. В контексте упоминается, что при внесудебном банкротстве сумма долга для его инициации (от 25 000 до 1 000 000 рублей) рассчитывается **без учета штрафов, пеней и процентов за просрочку платежа**.","doc_094,doc_047,doc_023","Фрагмент (score: 0.88):
 ипотечных каникулах обязательно вносится в кредитную историю. Однако этот факт не портит ее.

Другое дело — если вы нарушили условия каникул. Например, задерживали уменьшенные платежи или вообще не стали их вносить, хотя должны были. Это ухудшит ваш кредитный рейтинг и может помешать вам в будущем получать кредиты на выгодных условиях. Поэтому лучше придерживаться договоренностей с банком и все проблемы с выплатами сразу обсуждать с кредитором напрямую.

## Что делат"
51,"Как проходят расчеты при продаже квартиры, находящейся в залоге у банка?","Согласно контексту, расчеты при продаже квартиры, находящейся в залоге (в ипотеке), проходят строго через ипотечный банк продавца. Это обязательное условие, чтобы кредитор мог проконтролировать погашение или переоформление долга.

Оплата возможна через следующие способы:
*   счет эскроу,
*   аккредитив,
*   банковскую ячейку,
*   номинальный счет.

Конкретный порядок расчетов прописывается в договоре купли-продажи, где указывается, какая часть стоимости — это переходящий кредитный долг, а какую сумму продавец получит на руки.",doc_079,"Фрагмент (score: 0.90):
упателю.

Обычно банки одобряют продажу в двух случаях: либо по итогу сделки долг по кредиту будет полностью закрыт, либо его возьмет на себя покупатель.

Еще одно обязательное условие: расчеты по сделке будут проходить именно через ипотечный банк продавца. Так кредитор сможет проконтролировать, что долг будет погашен или переоформлен на нового заемщика.

На самом деле участие банка снижает риски всех сторон. Ведь он также проследит, чтобы покупатель стал собственни"
52,"Каков общий лимит вычета на взносы при сочетании ИИС‑3, ПДС, доппенсии?","Общий лимит вычета на взносы при сочетании ИИС‑3, ПДС и доппенсии составляет 400 000 рублей в год.","doc_014,doc_247","Фрагмент (score: 0.92):
ать деньги в программе минимум пять лет. То есть получить сбережения со счета и не потерять право на вычет он сможет, только когда ему будет не меньше 64 лет.

**Лимит вычета на взносы** – 400 000 рублей в год. То есть, если вы положите на ИИС-3, счет ПДС или пенсионный счет такую сумму в течение года, вернете до 52 000 рублей = 400 000 х 13%.

Учтите, что это общий лимит для всех ваших отчислений на ИИС-3, ПДС и НПО. Предположим, за один календарный год вы внесете 25"
53,Когда кредитор сможет продать залог: автомобиль в автоломбарде против ипотечной квартиры?,"На основе предоставленного контекста можно сравнить условия продажи залога:

**Для автомобиля в автоломбарде:**
Кредитор (автоломбард) может продать автомобиль, если заёмщик **не выплатит долг вовремя**. Контекст прямо указывает: ""А если вы не выплатите долг вовремя — автомобиль продадут"". Процедура или сроки явно не уточняются, но подразумевается, что это происходит после наступления просрочки.

**Для ипотечной квартиры:**
Контекст не содержит конкретной информации о том, когда именно кредитор сможет продать квартиру, находящуюся в залоге по ипотеке. Упоминается только, что банк сможет через суд забрать её в счёт погашения долга, **если не будут своевременно производиться платежи**.

**Вывод:**
В контексте есть информация о продаже автомобиля в автоломбарде (при невыплате долга вовремя), но отсутствует конкретная информация о сроках или условиях продажи ипотечной квартиры. Упоминается лишь общая возможность взыскания через суд при просрочке.","doc_276,doc_141","Фрагмент (score: 0.90):
Виктору срочно потребовались деньги на ремонт квартиры. Он не уверен, что банк одобрит ему кредит, так как уже допускал просрочки по старым займам. Но у него есть «Газель», которую можно заложить в ломбард. Рассказываем, в каких случаях может выручить автоломбард и какие риски подстерегают владельца машины. Ломбарды выдают займы под залог ценных вещей. В автоломбарде можно получить деньги под залог машины.

Обычно оформление такой ссуды занимает около часа и требует мин"
54,"На что смотреть при покупке полиса ДМС, чтобы не ошибиться?","Согласно контексту, при покупке полиса ДМС, чтобы не ошибиться, нужно обратить внимание на следующее:

1. **Проверить лицензию страховой компании** в справочнике Банка России.
2. **Убедиться в подлинности сайта** страховщика при онлайн-оформлении, используя контакты из реестра регулятора или маркировку официальных сайтов в поисковых системах (галочка в синем кружке).
3. **Внимательно изучить сам полис:**
    * Перечень доступных клиник, врачей и обследований.
    * Ограничения по числу визитов.
    * Список исключений (услуги, не покрываемые полисом, например, лечение хронических болезней, вакцинация).
    * Какие справки можно оформить (например, больничный).
4. **Выбирать полис по критериям**, которые важны лично вам:
    * По конкретной клинике или врачу (удобство расположения, наличие специалиста).
    * По набору услуг (широта покрытия, включение стоматологии, международной помощи и т.д.).","doc_118,doc_160","Фрагмент (score: 0.92):
рые сравнивают предложения сразу многих компаний.

## На что обратить внимание при покупке полиса ДМС?

В первую очередь проверьте лицензию страховой компании в справочнике Банка России.

Если решите оформлять договор онлайн, убедитесь, что попали на настоящий сайт страховщика, а не к мошенникам. Контакты компании можно найти в реестре регулятора. В поисковых системах «Яндекс» и Mail.ru официальные сайты страховых организаций легко отличить с помощью специальной мар"
55,"Где по умолчанию хранятся пенсионные накопления, допускается ли перевод между СФР и НПФ?","Согласно контексту, по умолчанию пенсионные накопления хранятся в Социальном фонде России (СФР), а их инвестированием занимается государственная управляющая компания ВЭБ.РФ, если человек никогда не писал заявлений о переводе своих накоплений.

Да, перевод между СФР и НПФ допускается. Можно перевести накопления из Соцфонда в негосударственный пенсионный фонд (НПФ) или вернуть их из НПФ обратно в СФР. Также возможен переход из одного НПФ в другой.","doc_244,doc_186","Фрагмент (score: 0.92):
Если вы родились после 1966 года и успели хоть немного поработать с 2002 по 2014 год, то у вас естьпенсионные накопления. Это часть вашей будущей государственной пенсии, которую пенсионные фонды инвестируют, чтобы увеличить ваш доход в старости. Если полученная прибыль вас не устраивает, можно перевести свои деньги в другой фонд с более удачной инвестстратегией. Рассказываем, как это лучше делать. ## Как узнать, где лежат мои пенсионные накопления?

Ваши пенсионные нако"
56,Почему обещания кредитного брокера «гарантируем кредит» не заслуживают доверия?,"Согласно контексту, обещания кредитного брокера «гарантируем кредит» не заслуживают доверия по следующим причинам:

1. **Брокеры не могут гарантировать получение кредита** — это прямо указано в их ограничениях.
2. **Решение о выдаче кредита принимает система банка/МФО**, а не брокер. В крупных организациях заявки сначала анализирует робот, и у брокера нет доступа к этой программе.
3. **Даже если заявка переходит на рассмотрение к специалисту**, знакомство брокера с этим сотрудником вряд ли сможет повлиять на решение.
4. **Если брокер уверяет, что поможет получить кредит любому**, он говорит неправду. Такие гарантии часто являются признаком мошенничества.","doc_056,doc_045","Фрагмент (score: 0.90):
;
* исходя из собственного опыта рассказать, в каких организациях вероятность получить кредит выше, а какие кредиторы тщательно проверяют платежеспособность заемщиков.

При этом понятия «кредитный брокер» в законодательстве нет. Их работу никто не регламентирует и не контролирует. Они не могут заключать договоры с клиентами от имени кредиторов без специальной доверенности. Но банки и МФО выдают такие доверенности только для оформления кредитов в точках продаж — наприме"
57,Какими способами пополнить карту безналичной валютой и можно ли затем снять эти деньги в иностранной наличности?,"Согласно контексту, пополнить карту безналичной валютой можно следующими способами:
1.  Через онлайн-банк, переведя деньги с рублевого счета по внутреннему обменному курсу банка (реже — по курсу Банка России).
2.  Перевести валюту со счета в брокерской компании после обмена валюты на бирже.

Что касается снятия этих денег в иностранной наличности, в контексте нет информации, которая прямо отвечает на этот вопрос. В тексте описаны общие комиссии за снятие наличных за границей, но не указано, применяются ли они именно к средствам, изначально пополненным безналичной валютой.",doc_215,"Фрагмент (score: 0.88):
 — для США, в юанях — для Китая и так далее.
* Нет лишних конвертаций из рубля в нужную валюту: покупаете долларовой картой ботинки за 20 долларов — с карты снимут ровно 20 долларов.
* Пополнять карту с рублевого счета можно через онлайн-банк по внутреннему обменному курсу банка (реже — по курсу Банка России) или переводить валюту со счета в брокерской компании после обмена валюты на бирже.

**Минусы:**

* Не все банки оформляют валютные карты.
* Обслуживание карты"
58,"Какие действия нужны, чтобы получить выплату после ДТП по европротоколу, включая необходимые доказательства?","Согласно контексту, чтобы получить выплату после ДТП по европротоколу, необходимы следующие действия и доказательства:

**Действия:**
1. **Оформить извещение о ДТП (европротокол)** в бумажном виде или электронно через мобильное приложение.
2. **Провести фотофиксацию** места аварии и повреждений транспортных средств с помощью специального мобильного приложения (это важно для размера выплаты).
3. **Собрать и предоставить страховщику пакет документов**, который включает:
    * Извещение о ДТП (или его регистрационный номер при электронном оформлении).
    * Паспорт и водительское удостоверение.
    * Документ о праве собственности на ТС.
    * Доверенность, если обращается не собственник.
    * Письменные показания свидетелей (при наличии).
4. **Предоставить страховщику** фото- или видеосъемку места аварии **либо регистрационный номер фотофиксации** из приложения.
5. **Подать документы** в страховую компанию лично в офисе, по почте заказным письмом с уведомлением или, при желании получить денежную компенсацию, дополнительно передать банковские реквизиты.

**Важно для размера выплаты:**
* Если есть **согласие по обстоятельствам и повреждениям** и проведена **фотофиксация**, то выплата максимальна.
* Если фотофиксация **не сделана**, выплата будет ниже — до 100 000 рублей.
* Если есть **разногласия**, но оформление и фотофиксация проведены, выплата составит до 200 000 рублей, но вопрос о том, кто её получит (виновник или пострадавший), будет решать страховщик.","doc_281,doc_011","Фрагмент (score: 0.91):
если водители:

* договорились по поводу обстоятельств ДТП и согласились с перечнем повреждений;
* оформили извещение о ДТП в бумажном или электронном виде;
* провели фотофиксацию аварии и повреждений ТС с помощью специального мобильного приложения.

Когда участники аварии пришли к общему мнению об обстоятельствах происшествия и повреждениях, заполнили извещение о ДТП, но не сделали фотофиксацию, возмещение будет ниже — **до 100 000 рублей**.

Если водители оформи"
59,Что будет с авто в залоге по автокредиту при просрочке либо после смерти заемщика?,"На основе предоставленного контекста можно ответить на обе части вопроса.

**При просрочке платежей по автокредиту:**
Если вы не будете своевременно платить по автокредиту, банк сможет через суд забрать эту машину в счет погашения долга. Кредитор не может отсудить имущество, находящееся в залоге, пока наследники не получат свидетельство о праве собственности на него (это относится к ситуации после смерти).

**После смерти заемщика:**
Если автомобиль, который вы унаследуете, находится в залоге у банка, вы получите право собственности на него и сможете им пользоваться. Однако вы не будете вправе продавать или дарить его, пока не погасите кредит. Если вы поймете, что вам не по силам платить по кредиту, можете добровольно передать кредитору залоговое имущество и таким образом погасить долг.","doc_141,doc_040,doc_248","Фрагмент (score: 0.90):
и хлопотами. Возможно, к этому моменту кредитор успеет передать просроченный долг коллекторам — а с ними не всегда получается договориться о реструктуризации кредита или займа.

## Как действовать, если кредит был взят под залог или поручительство?

Может выясниться, что квартира или машина, которую вы унаследуете, находится в залоге у банка. Когда вы вступите в наследство, то получите право собственности на нее и сможете ей пользоваться. Но будете не вправе продавать"
60,Как различается защита денег при отзыве лицензии у банка: депозит против счета эскроу?,"Согласно контексту, защита денег при отзыве лицензии у банка различается следующим образом:

**Для счёта эскроу:**
*   Деньги защищены государственной системой страхования вкладов (Агентством по страхованию вкладов, АСВ).
*   В случае отзыва лицензии у банка, АСВ может сразу перевести средства (в пределах 10 млн рублей) на новый счёт эскроу в другом уполномоченном банке.
*   Процедура возврата средств быстрая.

**Для банковского аккредитива (и, по аналогии, для обычного депозита, если сумма превышает страховой лимит):**
*   Деньги на аккредитиве **не застрахованы** государством.
*   Если лицензию отзовут до завершения сделки, вернуть средства можно будет только в ходе длительной процедуры банкротства или ликвидации банка.

Таким образом, ключевое отличие — наличие государственной страховой защиты (до 10 млн рублей) и быстрый механизм возврата для счёта эскроу, в то время как по аккредитиву такой защиты нет, и возврат средств сложен и длителен.","doc_029,doc_232","Фрагмент (score: 0.90):
вают считаные банки.

### Минусы:

* Деньги на банковском аккредитиве не застрахованы государством. Если у банка отзовут лицензию, пока сделка не завершена, вернуть хоть что-то удастся только в ходе длительной процедуры банкротства или ликвидации банка. В то время как на счете эскроу до 10 млн рублей защищены государственной системой страхования вкладов.
* Сложный, строго регламентированный оборот документов. Благодаря этому контроль выше, но сделки могут проходить д"
61,Как официальные данные об инфляции можно использовать при решении: брать ипотеку или разместить деньги на вкладе?,"Согласно контексту, официальные данные об инфляции можно использовать следующим образом:

1. **При решении о взятии ипотеки**: если инфляция снижается, возможно, стоит немного подождать, так как могут понизиться ставки по кредитам. Если инфляция стабильна и близка к цели Банка России, решение можно принимать уже сейчас.

2. **При размещении денег на вкладе**: при стабильно низкой инфляции не стоит ожидать внезапного роста процентов по вкладам. Однако хранить деньги «под подушкой» также не стоит, так как ставка по депозиту поможет «обыграть» инфляцию и избежать потерь из-за неё.","doc_016,doc_102","Фрагмент (score: 0.91):
и услуг — когда устанавливают цены. Банки — когда определяют ставки по кредитам и депозитам, работодатели — когда принимают решение об индексации зарплат, государство — когда индексирует тарифы естественных монополий (цены на услуги ЖКХ и т. п.), повышает пенсии и социальные выплаты.

### Как самому использовать официальные данные?

Информация помогает и в обычной жизни. Например, вы планируете взять ипотеку. Если инфляция снижается, то, возможно, вам стоит немного по"
62,"Как неквалу получить доступ к ETF зарубежных рынков, а также к паям ЗПИФов?","На основе предоставленного контекста:

**Для доступа к ETF зарубежных рынков** неквалифицированному инвестору (неквалу) доступны следующие варианты:
1. **Через российские биржи** можно покупать паи ETF, которые никак не связаны с недружественными странами и соответствуют определённым условиям (входят в первые два котировальных списка или привязаны к ведущим зарубежным индексам с договором создателя с российской биржей). Для остальных «дружественных» ETF потребуется пройти специальное тестирование.
2. **Прямая покупка на зарубежных биржах** сопряжена с высоким риском блокировки активов, и почти никто из российских брокеров не предоставляет такую возможность. Для таких сделок потребуется отдельный счёт (ИИС не подойдёт).
3. Можно найти **иностранного брокера или управляющего**, но в случае нарушения прав придётся судиться за пределами России по законам другой страны.

**Для доступа к паям ЗПИФов:**
*   Паи ЗПИФов, которые торгуются на бирже и входят в первый или второй уровень листинга, все инвесторы (включая неквалов) могут покупать **без ограничений**.
*   Паи ЗПИФов из некотировальной части списка биржи — более рискованные, и неквалифицированные инвесторы могут вложиться в них **только после прохождения тестирования**. Исключение составляют те, кто купил паи таких ЗПИФов до 1 октября 2021 года, — им тест не нужен.","doc_108,doc_167","Фрагмент (score: 0.91):
торгуются на российских биржах, созданы компаниями и включают активы из недружественных стран. Велик риск, что ценные бумаги таких фондов попадут под блокировку из-за санкций. Поэтому они доступны только квалифицированным инвесторам.

Неквалы могут вкладываться в ETF из дружественных стран, но пока таких фондов на российских биржах нет.

Есть и другой вариант — купить ETF на зарубежных биржах. Но велик риск блокировки этих активов. Поэтому почти никто из российских бр"
63,Совместима ли компенсация 450 000 ₽ по ипотеке для третьего ребенка с имущественным налоговым вычетом?,"На основе предоставленного контекста можно сделать вывод, что эти меры поддержки не исключают друг друга, но прямого утверждения об их совместимости в тексте нет.

Контекст раздельно описывает:
1.  Имущественный налоговый вычет при покупке жилья (возврат НДФЛ с суммы до 2 млн рублей и с процентов до 3 млн рублей).
2.  Компенсацию 450 000 рублей на погашение ипотеки для семей с тремя и более детьми.

В тексте отсутствует формулировка, которая прямо запрещает или разрешает использование обеих мер одновременно. Упоминание, что компенсацию можно получить только один раз, относится именно к самой этой компенсации (450 000 ₽), а не к её сочетанию с другими видами поддержки.

**Ответ:** В контексте нет информации, прямо подтверждающей или опровергающей совместимость этих двух мер.","doc_330,doc_013,doc_282","Фрагмент (score: 0.91):
ые предоставляет государство, — вы можете оформить возврат налогового вычета при покупке квартиры.

Семьи с тремя и более детьми также вправе получить компенсацию до 450 000 рублей на погашение ипотеки.

Обновлено 03.08.2022 в 16:14
---
Фрагмент (score: 0.89):
х налоговой.

Это правило распространяется на случаи, когда вы оплатили недвижимость кредитными деньгами. Но для получения такого вычета необходимо иметь официальный доход, который облагается налогом.

Разре"
64,Какие приемы помогают сократить импульсивные траты?,"Согласно контексту, для сокращения импульсивных трат предлагаются следующие приемы:

1. **Учет доходов и расходов** в течение хотя бы пары месяцев, чтобы понять, на что уходят деньги, и избегать импульсивных покупок.
2. **Использовать опцию «отложить»** — выбрать товар, но отложить покупку на несколько часов или день, чтобы понять, действительно ли она нужна.
3. **Составлять списки покупок**, чтобы покупать только необходимое и не делать спонтанных приобретений.

Также в контексте упоминается, что контроль трат и составление финансового плана помогают оптимизировать расходы и правильно расставлять приоритеты.","doc_201,doc_022,doc_072","Фрагмент (score: 0.86):
ивычкой. Учет доходов и расходов хотя бы в течение пары месяцев поможет понять, на что уходят деньги, и научиться тратить их разумнее, избегая импульсивных покупок, которые бьют по бюджету.

Фиксировать свои траты можно разными способами: с помощью сервисов финансового планирования, таблицы в Excel или в обычном блокноте.

## 4. Составить финансовый план

Контроль трат помогает оптимизировать свои расходы. Но лучше действовать комплексно и создать финансовый план. О"
65,"Зачем финансовая подушка безопасности нужна семье так же, как зрелому бизнесу?",В контексте нет информации.,"doc_313,doc_332,doc_225","Фрагмент (score: 0.87):
оды растут.

## Шаг 2. Создайте страховочную сетку

Если вы еще этого не сделали, добавьте в свой план цель № 1 — создать финансовую подушку безопасности. Это своего рода запас на черный день — деньги, которыми вы быстро сможете воспользоваться в экстренном случае. Безопаснее всего открыть вклад до востребования или с возможностью частичного снятия в надежном банке. В идеале стоит отложить от трех до шести среднемесячных доходов вашей семьи.

Продумайте, как максима"
66,Чем отличаются государственные гарантии для денег на эскроу при покупке новостройки и для банковского вклада?,"Согласно контексту, государственные гарантии для денег на эскроу и для обычного банковского вклада одинаковы в части страховой суммы. Оба типа счетов защищены системой страхования вкладов АСВ в пределах **10 млн рублей**.

Однако ключевое отличие заключается в процедуре возврата средств, если у банка отзовут лицензию:
*   Для **банковского вклада** деньги возвращаются вкладчику.
*   Для **счета эскроу** при покупке новостройки просто забрать деньги не получится. Необходимо дождаться, пока застройщик выберет другой уполномоченный банк, открыть там новый счет эскроу, и затем АСВ переведет на него средства (в пределах страховой суммы). Цель защиты — не возврат денег дольщику, а обеспечение продолжения финансирования строительства.",doc_232,"Фрагмент (score: 0.91):
ратиться в банк.

**Если банк, в котором у вас открыт счет эскроу, потеряет лицензию,** вы защищены. Государственное Агентство по страхованию вкладов (АСВ) сможет сразу перевести до 10 млн рублей со старого счета на эскроу в другом банке. В каком банке нужно будет открыть новый счет, решит застройщик.

Строительные компании чаще всего возводят дома на кредитные деньги. И им выгодно завершить объект как можно быстрее, чтобы получить доступ к деньгам со счетов эскроу, п"
67,Как безопаснее настроить оплату частями в онлайн‑магазине?,В контексте нет информации.,"doc_036,doc_087,doc_069","Фрагмент (score: 0.89):
карты в приложении интернет-магазина, которое могут взломать хакеры.

**Совет.** Многие онлайн-сервисы предлагают оплату через системы мобильных платежей. Выбирайте именно этот способ — он работает как защитный шлюз для ваших денег.

Если есть возможность, старайтесь не использовать приложения и сайты, которые просят вас вводить реквизиты банковской карты. Выбирайте те, что предлагают оплату с помощью систем платежей Apple Pay, Google Pay, Mir Pay или Samsung Pay.

"
68,"Какие льготы предусмотрены по программе долгосрочных сбережений, включая размер вычета на взносы?","Согласно контексту, по программе долгосрочных сбережений предусмотрен **налоговый вычет на долгосрочные сбережения**. Он позволяет освободить от НДФЛ как сами взносы (вложения), так и полученную по этим инструментам прибыль.

**Размер вычета на взносы** составляет:
*   Лимит для расчета льготы — **400 000 рублей в год** (суммарно на взносы на ИИС-3, счета ПДС и дополнительные пенсии).
*   Максимальная сумма к возврату зависит от ставки НДФЛ:
    *   При ставке 13% можно вернуть до **52 000 рублей** (400 000 х 13%).
    *   При повышенных ставках (например, 22%) вычет может вырасти до **88 000 рублей** (400 000 х 22%).

Этот вычет можно сочетать с другими налоговыми льготами (имущественными, социальными).",doc_247,"Фрагмент (score: 0.91):
т другой вид вычета — социальный.

Вычет на долгосрочные сбережения позволяет освободить от НДФЛ и вложения в эти инструменты, и полученную по ним прибыль. По сути, он объединяет сразу два налоговых бонуса — **вычет на взносы** и **вычет на доход**.

Вычет на взносы возможен, только когда у вас есть официальный заработок и вы платите с него НДФЛ. Для вычета на доход необязательно получать зарплату или другие деньги, которые облагаются налогом.

Оба вида вычетов дейс"
69,Какие лимиты действуют для бесплатных переводов по СБП по сравнению с кэшаутом?,"В контексте нет информации о сравнении лимитов для бесплатных переводов по СБП с лимитами на кэшаут (снятие наличных). В предоставленных фрагментах описываются только лимиты и комиссии, связанные с переводами.","doc_200,doc_054","Фрагмент (score: 0.89):
е банка. Также можно решить этот вопрос в офисе банка или по телефону его горячей линии — он указан в договоре банковского счета, на оборотной стороне банковской карты или на официальном сайте банка.

## Какой будет комиссия за переводы?

Когда вы пересылаете деньги другим людям, можно бесплатно отправить до 100 000 рублей в месяц. В этот лимит входят также переводы на любые электронные кошельки, в том числе собственные.

Если перекидываете сбережения между своими с"
70,Как проходит расчет через счет эскроу при долевом строительстве?,"Согласно контексту, расчет через счет эскроу при долевом строительстве проходит следующим образом:

1. Покупатель заключает **трехсторонний договор** со строительной компанией и банком.
2. На время строительства покупатель вносит деньги на специальный **счет эскроу**, где банк их блокирует и хранит.
3. Банк одновременно выдает кредит застройщику для финансирования строительства.
4. **После сдачи дома** банк передает деньги застройщику, а покупатели получают свои квартиры. Застройщик затем расплачивается полученными деньгами по кредиту, а оставшиеся средства составляют его прибыль.

Также в контексте отмечается, что деньги на счетах эскроу застрахованы государством, а повышенная защита для покупателя действует с момента внесения денег на счет и до их перевода застройщику после сдачи дома.","doc_232,doc_331,doc_065","Фрагмент (score: 0.91):
nan ## Что такое долевое строительство?

Квартира на этапе строительства, а тем более проекта, может стоить гораздо дешевле, чем готовое жилье. Будущие жильцы заранее оплачивают свои квадратные метры и таким образом вносят свою лепту в финансирование стройки. Это и называется долевым строительством.

Сегодня самый распространенный вариант расчетов при долевом строительстве — через счет эскроу. По этой схеме покупатель заключает трехсторонний договор со строительной ко"
